month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
7/1/2006,Missouri,808,,3403,7246,,136,0,0,3,,188,1076,,0,0,,,,,,,,,,12860
7/1/2006,Montana,362,,1246,2910,,127,0,2,3,,257,781,,0,0,,,,,,,,,,5688
7/1/2006,Nebraska,1178,,0,1270,,0,0,0,0,,0,77,,0,0,,,,,,,,,,2525
7/1/2006,Nevada,663,,2147,1853,,152,0,0,0,,187,130,,0,0,,,,,,,,,,5132
7/1/2006,New Hampshire,1152,,1056,1535,,7,0,0,0,,0,6,,34,0,,,,,,,,,,3790
7/1/2006,New Jersey,0,,1261,1051,,40,1,0,0,,0,0,,0,0,,,,,,,,,,2353
7/1/2006,New Mexico,621,,2179,2593,,116,0,1,0,,299,562,,0,0,,,,,,,,,,6371
7/1/2006,New York,2522,,2667,6554,,31,9,0,0,,0,8,,0,0,,,,,,,,,,11791
7/1/2006,North Carolina,7429,,180,6981,,96,0,9,11,,969,1499,,0,0,,,,,,,,,,17174
7/1/2006,North Dakota,223,,424,1577,,20,0,0,1,,20,101,,0,0,,,,,,,,,,2366
7/1/2006,Ohio,0,,7293,9630,,338,0,10,61,,495,649,,0,0,,,,,,,,,,18476
7/1/2006,Oklahoma,0,,4070,4865,,290,0,11,17,,792,1376,,0,0,,,,,,,,,,11421
7/1/2006,Oregon,17,,3993,6043,,250,0,0,0,,0,0,,0,0,,,,,,,,,,10303
7/1/2006,Pennsylvania,116,,0,31212,,82,1,0,0,,0,0,,47,0,,,,,,,,,,31458
7/1/2006,Puerto Rico,0,,543,136,,13,0,0,0,,0,0,,0,0,,,,,,,,,,692
7/1/2006,Rhode Island,0,,288,269,,73,0,0,0,,0,2,,0,0,,,,,,,,,,632
7/1/2006,South Carolina,1514,,3394,3186,,112,0,2,6,,423,525,,0,0,,,,,,,,,,9162
7/1/2006,South Dakota,0,,556,2037,,38,0,0,1,,56,187,,0,0,,,,,,,,,,2875
7/1/2006,Tennessee,2784,,6785,6452,,307,0,0,0,,0,0,,0,0,,,,,,,,,,16328
7/1/2006,Texas,9124,,15063,20324,,963,6,51,40,,2753,3952,,0,0,,,,,,,,,,52276
7/1/2006,Utah,2352,,1751,3096,,68,0,0,0,,0,0,,0,0,,,,,,,,,,7267
7/1/2006,Vermont,0,,407,593,,19,0,0,0,,0,0,,0,0,,,,,,,,,,1019
7/1/2006,Virgin Islands,178,,17,3,,0,0,0,0,,0,0,,0,0,,,,,,,,,,198
7/1/2006,Virginia,0,,7764,7647,,223,0,0,0,,0,0,,1,0,,,,,,,,,,15635
7/1/2006,Washington,4394,,5006,5785,,235,16,4,1,,647,896,,35,4,,,,,,,,,,17023
7/1/2006,West Virginia,0,,2114,3487,,151,0,1,8,,510,1361,,0,0,,,,,,,,,,7632
7/1/2006,Wisconsin,0,,2669,6244,,4,0,2,1,,4,144,,0,0,,,,,,,,,,9068
7/1/2006,Wyoming,282,,677,1485,,47,1,0,1,,75,212,,0,0,,,,,,,,,,2780
6/1/2006,Alabama,0,,6060,5143,,257,0,68,124,,1279,1401,,0,0,,,,,,,,,,14332
6/1/2006,Alaska,0,,1479,1747,,86,0,3,2,,160,188,,0,0,,,,,,,,,,3665
6/1/2006,Arizona,1936,,5167,4663,,238,0,3,4,,574,385,,0,0,,,,,,,,,,12970
6/1/2006,Arkansas,993,,2551,3547,,195,0,3,17,,639,1510,,0,0,,,,,,,,,,9455
6/1/2006,California,15173,,14262,13796,,403,0,0,0,,0,0,,0,0,,,,,,,,,,43634
6/1/2006,Colorado,757,,6169,7137,,388,0,0,0,,0,0,,0,0,,,,,,,,,,14451
6/1/2006,Connecticut,3378,,1962,1734,,43,250,0,0,,0,0,,0,0,,,,,,,,,,7367
6/1/2006,Delaware,0,,428,568,,16,0,0,0,,0,1,,0,0,,,,,,,,,,1013
6/1/2006,District of Columbia,0,,5,0,,0,0,0,0,,0,0,,0,0,,,,,,,,,,5
6/1/2006,Florida,0,,16766,10790,,602,4,8,3,,438,352,,0,0,,,,,,,,,,28963
6/1/2006,Georgia,3654,,9016,7494,,375,0,17,29,,1292,1335,,0,0,,,,,,,,,,23212
6/1/2006,Guam,0,,12,13,,0,0,0,0,,0,0,,0,0,,,,,,,,,,25
6/1/2006,Hawaii,704,,0,0,,0,2,0,0,,0,0,,0,0,,,,,,,,,,706
6/1/2006,Idaho,1210,,1404,2775,,92,0,1,6,,232,542,,0,0,,,,,,,,,,6262
6/1/2006,Illinois,26514,,4169,5011,,199,0,0,0,,0,0,,0,0,,,,,,,,,,35893
6/1/2006,Indiana,0,,4867,5566,,187,0,0,11,,0,357,,0,0,,,,,,,,,,10988
6/1/2006,Iowa,2912,,13,1775,,1,0,0,0,,5,103,,8,0,,,,,,,,,,4817
6/1/2006,Kansas,0,,2150,2858,,135,0,3,6,,276,345,,0,0,,,,,,,,,,5773
6/1/2006,Kentucky,0,,5389,5843,,382,408,7,11,,1149,1747,,0,0,,,,,,,,,,14936
6/1/2006,Louisiana,0,,6190,4933,,230,0,3,3,,713,841,,0,0,,,,,,,,,,12913
6/1/2006,Maine,0,,1021,1751,,59,0,15,38,,47,122,,0,0,,,,,,,,,,3053
6/1/2006,Mariana Islands,0,,0,0,,0,0,0,0,,0,0,,0,0,,,,,,,,,,0
6/1/2006,Maryland,2005,,440,2707,,9,0,0,0,,42,76,,0,0,,,,,,,,,,5279
6/1/2006,Massachusetts,7737,,1646,1065,,58,93,0,0,,0,0,,0,0,,,,,,,,,,10599
6/1/2006,Michigan,9703,,1906,7473,,47,0,0,9,,0,244,,0,0,,,,,,,,,,19382
6/1/2006,Minnesota,5096,,2839,5848,,106,0,0,0,,85,394,,0,0,,,,,,,,,,14368
6/1/2006,Mississippi,0,,3407,3731,,139,0,51,53,,805,1037,,0,0,,,,,,,,,,9223
6/1/2006,Missouri,1010,,3659,7056,,143,0,1,1,,193,1141,,0,0,,,,,,,,,,13204
6/1/2006,Montana,371,,1383,3343,,125,0,1,4,,298,810,,0,0,,,,,,,,,,6335
